external_gene_name,logfc,padj
LINC02799,-8.2,0.9147
AC239859.1,5.3,0.2462
NBPF17P,7.2,0.2292
PFN1P12,2.9,0.4088
RNU1-114P,-6.7,0.5599
RNVU1-17,6,0.1691
RNVU1-23,-0.6,0.3567
RNVU1-18,8.4,0.9581
AC239800.2,-4.5,0.6204
AC239800.1,1.5,0.6867
FAM91A3P,-1.5,0.1244
AC239800.3,0.5,0.0819
LINC02591,-4.2,0.696
RNU1-143P,-7.4,0.3567
AC239798.1,6.8,0.5513
AC239798.2,9.1,0.1799
FCGR1CP,7.8,0.5145
H2BP2,-8.3,0.2931
H3-2,2.4,0.8871
AC246680.1,-9.7,0.6623
RPL22P5,-1.1,0.6638
FAM72C,-2,0.3689
SRGAP2D,9.6,0.5511
IGKV1OR1-1,5.4,0.5938
AC244015.1,-1.9,0.5546
AC244015.2,-4.5,0.2026
LINC02802,6.9,0.7251
RNA5SP529,8.1,0.7245
DRD5P2,-2.9,0.464
AC245595.1,8.7,0.6553
PPIAL4E,8.6,0.1713
AC246785.4,-0.8,0.266
RNVU1-15,-9.2,0.4023
AC246785.3,0.5,0.7458
AC246785.2,5.1,0.0012
NBPF15,8.8,0.03
PFN1P6,-8.7,0.6386
AC246785.1,7.2,0.912
RNVU1-26,2.9,0.7009
RNVU1-2A,-8.5,0.7291
RNVU1-28,0.6,0.9477
PPIAL4F,8.9,0.0017
LINC01632,5.4,0.0942
FP700111.1,-2.2,0.4539
FP700107.1,-6,0.4957
RNA5SP59,-2.6,0.125
FP700111.2,-9.5,0.7988
FP700111.3,-1.1,0.166
SRGAP2B,-3.4,0.7468
AC242498.1,1,0.1465
FAM72D,-3.2,0.6756
AC241585.3,-7.7,0.7536
LINC01145,-3.5,0.0889
RNU1-153P,-9.6,0.1163
AC241585.2,-1.6,0.3286
AC241585.1,-7.3,0.4575
PPIAL4D,-1.8,0.1729
AC245014.2,4.5,0.2367
AC245014.3,-8.9,0.6522
RNVU1-14,5.3,0.654
AC245014.1,-7.4,0.7791
NBPF20,-3.7,0.9655
PFN1P3,-0.8,0.0241
RNU1-154P,-0.6,0.6161
AC239860.3,-2.8,0.6865
RNVU1-31,5.4,0.8284
AC239860.4,-6.6,0.466
AC239860.2,-6.5,0.6228
AC239860.1,9.7,0.9181
NBPF25P,2.7,0.5504
GPR89A,3.5,0.9003
PDZK1,-1.4,0.2993
CD160,1.2,0.292
RNF115,1.4,0.3404
POLR3C,8,0.965
NUDT17,-3.7,0.69
PIAS3,1.8,0.6839
MIR6736,1.4,0.6278
ANKRD35,1.7,0.471
ITGA10,6.4,0.851
AC243547.1,-6.9,0.7204
PEX11B,-5.2,0.5673
RBM8A,4.5,0.4353
RBM8A,-4.8,0.1631
GNRHR2,2.6,0.4429
LIX1L-AS1,7,0.2204
AC243547.3,4.5,0.5085
LIX1L,8.8,0.8916
ANKRD34A,-6.2,0.3233
AC243547.2,5.1,0.8178
POLR3GL,-2.7,0.535
TXNIP,4.8,0.4949
HJV,1.6,0.654
AC239799.2,6.2,0.6106
RNVU1-6,6.4,0.7191
LINC01719,-4.7,0.577
NBPF10,-1.4,0.4569
NOTCH2NLA,9.8,0.7012
AC239799.1,-2.6,0.4414
RNU6-1071P,-4.8,0.3125
NUDT4P2,-9.7,0.9312
SEC22B4P,-3.3,0.6875
PPIAL4H,7.2,0.2226
RNVU1-29,-4.4,0.1597
AC245407.2,-4.1,0.8467
RNVU1-25,-6.4,0.6084
AC245407.1,-3.7,0.251
HYDIN2,2.9,0.9194
RNA5SP536,-0.8,0.5206
AC241929.1,-0.2,0.9779
NBPF12,-6.9,0.8522
PFN1P8,2.1,0.319
AC244394.2,-1.2,0.7164
NBPF13P,-7.6,0.118
AC244394.1,10,0.5722
RNU1-151P,8.7,0.4264
AC241584.1,-2.4,0.9702
RNVU1-8,-1.8,0.3896
AC241584.2,-2.5,0.0027
PRKAB2,5.9,0.0472
PDIA3P1,7,0.0363
AC242426.2,-8.7,0.5465
FMO5,4.3,0.061
CCT8P1,-7.6,0.2019
RPL7AP15,-4.5,0.074
CHD1L,1.8,0.6888
LINC00624,5.8,0.8669
AC242426.1,-4.9,0.9621
OR13Z1P,1,0.0864
AC242425.1,-0.8,0.7848
OR13Z2P,-7.9,0.2103
OR13Z3P,-5.5,0.831
BCL9,1.7,0.2461
AC242628.1,-7.2,0.3381
ACP6,-0.3,0.3452
RN7SL261P,4.1,0.8155
AC241644.1,5.5,0.0271
GJA5,6.5,0.7084
AC241644.3,-1.2,0.6366
AC241644.2,-9.6,0.0487
AC239801.1,-3,0.7665
GJA8,6.1,0.8455
GPR89B,6.8,0.348
PDZK1P1,-1.6,0.9149
AC239803.1,-4.2,0.9424
LINC02804,-7.2,0.7962
RNU1-129P,3.2,0.5808
RNVU1-7,-7.3,0.9537
PDE4DIPP1,-3.1,0.796
NBPF11,9,0.318
PFN1P4,7.6,0.5967
ABHD17AP1,6,0.6136
LINC02805,-2.8,0.5896
AC239809.3,-3.7,0.2281
RNA5SP57,-0.8,0.7585
AC239809.1,5.2,0.8223
AC239809.2,5.5,0.3146
RNVU1-22,7.4,0.2841
LINC01731,-4.8,0.2663
AC245100.3,-6.1,0.3975
LINC01138,-0.4,0.6636
LINC02806,8.1,0.1717
AC245100.1,9.1,0.578
AC245100.5,4.6,0.2642
Y_RNA,-1.7,0.9257
MIR5087,7.7,0.8768
RNVU1-21,3.2,0.6287
AC245100.6,-7.1,0.6193
RNVU1-1,-6.4,0.0507
RNU1-155P,-8.6,0.2233
MIR6077,4.1,0.0741
RNVU1-2,6.7,0.562
AC245100.4,2.7,0.0577
RNVU1-3,-1.5,0.7215
AC245100.2,2.9,0.6819
AC245100.8,-9.1,0.294
AC245100.7,4.2,0.2283
PPIAL4G,6.7,0.8321
RNVU1-27,-6.9,0.4131
NBPF14,2.2,0.3657
NOTCH2NLB,-1.2,0.3707
RNU6-1171P,3.9,0.7953
NUDT4B,-0.7,0.475
SEC22B3P,-6.7,0.0977
AC245389.1,-7.8,0.2607
PDE4DIP,7.4,0.0258
RN7SKP88,9.8,0.6316
RNU2-38P,5.7,0.1175
AC239802.1,9.1,0.9888
AC239802.2,9.8,0.0654
AC239804.1,-4.1,0.7497
NBPF9,4.6,0.433
AC239804.2,3.1,0.4774
RNVU1-24,4.9,0.736
AC245297.3,1.3,0.5282
AC245297.1,5.6,0.6979
AC245297.2,-6.7,0.5212
7SK,7.9,0.4813
SEC22B2P,0.3,0.8561
NOTCH2NLC,-8.1,0.0124
AC242842.3,-4.2,0.3293
NBPF19,6.3,0.0862
PPIAL4C,-1,0.2998
LINC00869,-9.9,0.0046
AC242842.2,-3.5,0.6271
AC242842.1,-10,0.6113
RNVU1-30,1.5,0.1785
FAM91A2P,-10,0.4173
AC243772.3,-7.2,0.3555
RNU1-68P,2,0.0164
AC243772.1,5,0.5485
FCGR1A,-2.5,0.4382
H2BC18,-3.1,0.9926
AC243772.2,5.5,0.8027
H3C13,8.9,0.2122
H4C14,-4,0.4593
H3C14,-6.2,0.8248
H2AC18,5.1,0.5874
H2BC19P,7.3,0.2641
H2BC20P,-2.6,0.7427
H2AC19,-4.2,0.4822
H3C15,7.1,0.2757
H4C15,-9.8,0.5007
AC239868.1,0.1,0.8462
H2BC21,2.8,0.1297
H2AC20,0.9,0.3026
H2AC21,7.7,0.8147
BOLA1,-3.8,0.3755
SV2A,-1,0.3311
SF3B4,-0.8,0.8925
MTMR11,-5.1,0.9198
OTUD7B,4.5,0.8809
AC244033.2,6.2,0.1646
AC244033.1,4.6,0.2313
VPS45,1.7,0.962
PLEKHO1,-3,0.586
AC242988.2,-8,0.9265
RN7SL480P,3.6,0.1256
ANP32E,-6.1,0.4454
RNU2-17P,-5,0.5165
AC242988.1,7.8,0.9224
CA14,3.9,0.6695
APH1A,-10,0.3332
C1orf54,2.3,0.822
CIART,-3,0.847
MRPS21,-1.8,0.2252
PRPF3,7.6,0.5962
RPRD2,-0.4,0.7186
TARS2,3,0.3084
MIR6878,3.4,0.7775
ECM1,-4.1,0.6966
FALEC,1.3,0.7277
ADAMTSL4-AS2,8.6,0.9879
ADAMTSL4,-6.6,0.2472
MIR4257,-8,0.7434
ADAMTSL4-AS1,0.3,0.3752
RN7SL473P,-9.9,0.7262
RN7SL600P,-9.4,0.1482
MCL1,-2.1,0.4416
AL356356.1,8.5,0.779
ENSA,-2.4,0.4185
U4,1.6,0.3845
GOLPH3L,-3.9,0.0043
HORMAD1,0.7,0.3183
RNU6-1042P,8.2,0.3413
CTSS,-3.7,0.9168
AL356292.1,-6.7,0.2939
CTSK,-2.9,0.2663
UBE2D3P3,-1.1,0.6031
ARNT,-0.6,0.0528
RNU6-1309P,4.7,0.5203
RPS27AP6,6.1,0.5901
CTXND2,1.8,0.6459
CYCSP51,-2.2,0.3339
SETDB1,3,0.2204
CERS2,0.4,0.9681
AL590133.2,-5.1,0.9269
AL590133.1,-7.4,0.4164
ANXA9,3.7,0.8739
MINDY1,-9.1,0.2073
PRUNE1,-9.1,0.775
RNU6-884P,-4.1,0.7297
BNIPL,3,0.635
C1orf56,4.3,0.9191
CDC42SE1,-9.5,0.9718
MLLT11,-6.5,0.7883
GABPB2,-9.9,0.0222
RPS29P29,7.8,0.3532
AL592424.1,-0.8,0.9643
SEMA6C,7.8,0.2011
TNFAIP8L2,-5.7,0.2933
SCNM1,1.1,0.2301
LYSMD1,5.4,0.4568
TMOD4,9.5,0.7699
VPS72,8.7,0.5743
PIP5K1A,-6.3,0.7032
PSMD4,-2.2,0.0385
ZNF687-AS1,-2.6,0.0789
ZNF687,-0.8,0.4716
PI4KB,-8.3,0.7304
RN7SL444P,-0.6,0.153
AL391069.2,-6.3,0.6284
RFX5,0.4,0.3402
AL391069.1,4.7,0.7423
RFX5-AS1,-7.6,0.6542
SELENBP1,-6.3,0.7832
SELENBP1,-9.6,0.5037
PSMB4,-2.4,0.5495
POGZ,7.4,0.6551
RNY4P25,-2.4,0.0148
CGN,9.9,0.9903
AL365436.3,-0.7,0.8565
TUFT1,3.7,0.4007
AL365436.2,4.9,0.7611
MIR554,-6.2,0.6664
AL365436.1,5.7,0.2006
SNX27,8.5,0.0222
AL391335.1,6.9,0.0145
RNU6-1062P,5.4,0.1972
CELF3,-5.2,0.5609
AL589765.1,-4.7,0.5117
RIIAD1,0.1,0.3944
RNU6-662P,-4.1,0.1382
AL589765.7,1.4,0.8242
AL589765.3,-6.1,0.1687
MRPL9,-5.8,0.8365
OAZ3,-3.9,0.8796
AL589765.4,5.4,0.9203
AL589765.2,9.8,0.1428
AL589765.5,5.4,0.4582
TDRKH,8.6,0.4705
TDRKH-AS1,-6,0.8085
AL589765.6,3.6,0.2244
LINGO4,-5.7,0.7247
RORC,5.8,0.8227
C2CD4D,6.6,0.9287
Y_RNA,6.8,0.812
C2CD4D-AS1,6.1,0.9289
THEM5,-7.9,0.956
THEM4,-1.8,0.8885
AL450992.2,9.1,0.5855
AL450992.3,-3.9,0.2892
KRT8P28,-1.5,0.3438
S100A10,7.3,0.4595
AL450992.1,-6.2,0.0114
NBPF18P,4.9,0.7597
S100A11,10,0.8069
SPTLC1P4,-6.2,0.5251
AL591893.1,2.7,0.5915
TCHHL1,-0.6,0.0864
TCHH,-3.8,0.2558
AL589986.1,7.1,0.7505
PUDPP2,-6.8,0.933
RPTN,5.5,0.9466
FLG-AS1,4.8,0.8312
AL589986.2,-7.3,0.9544
HRNR,-5.9,0.2121
FLG,-8.9,0.4795
FLG2,6.1,0.237
HMGN3P1,4.6,0.7778
CRNN,3.3,0.5169
LCE5A,-4,0.2971
LCE5A,1.1,0.5861
CRCT1,-3.8,0.9021
LCE3E,-7.9,0.0571
LCE3D,9.1,0.9757
LCE3C,7.2,0.2212
LCE3B,9.9,0.3008
LCE3A,-2.9,0.5285
LCEP4,-9.4,0.9112
LCEP3,4.5,0.0887
LCE2D,4.7,0.469
LCE2C,-1.9,0.2831
LCE2B,-5.2,0.5514
LCE2A,-2.6,0.0707
LCE4A,-3.6,0.2193
C1orf68,-3.4,0.8676
LCEP2,8.2,0.3236
LCEP1,-2.9,0.5936
KPRP,8.5,0.5848
LCE1F,9.8,0.5009
LCE1E,1.3,0.8469
LCE1D,-8.9,0.8843
LCE1C,4.8,0.1914
LCE1B,-3,0.3769
LCE1A,-3.2,0.4097
LCE6A,-7,0.7553
AL162596.1,-6,0.6242
SMCP,-2.9,0.5278
IVL,9.6,0.0633
LINC01527,-3.3,0.3954
SPRR5,7.3,0.8184
SPRR4,8.8,0.1949
SPRR1A,7.3,0.7487
SPRR3,-7.4,0.0978
AL356867.1,0.5,0.6981
AL356867.2,-3.8,0.1843
SPRR1B,7.9,0.136
SPRR2D,-8.5,0.7843
SPRR2A,5.3,0.3165
SPRR2B,-9.1,0.4643
SPRR2E,3.3,0.0479
SPRR2F,-4.6,0.5446
SPRR2C,2.2,0.5105
SPRR2G,-0.4,0.9472
AL161636.1,0,0.9227
LELP1,8,0.3385
PRR9,-9.4,0.3249
AL161636.2,-1.8,0.0047
LORICRIN,-5.1,0.0546
PGLYRP3,1.7,0.0783
PGLYRP4,2.4,0.9055
RNU6-160P,-0.5,0.9879
RNU6-160P,-6,0.0532
S100A9,6.5,0.3872
S100A12,-3.2,0.0085
LAPTM4BP1,-5,0.6451
S100A8,-8,0.5418
S100A15A,-6.2,0.8029
S100A7A,-5.8,0.9084
S100A7P1,-4.9,0.8455
S100A7L2,-6.4,0.2623
S100A7,8.6,0.4836
RN7SL44P,-9.7,0.797
BX470102.1,1.7,0.4275
S100A6,9.1,0.5614
S100A5,-6,0.1154
S100A4,0.7,0.2064
S100A3,7,0.9714
S100A3,9.9,0.5513
S100A2,9.4,0.0306
BX470102.2,3.1,0.5802
S100A16,1,0.6464
S100A14,-2.4,0.8635
S100A13,-0.9,0.3995
AL162258.1,7,0.8965
S100A1,-1.5,0.9665
AL162258.2,-5.4,0.2978
CHTOP,-1.5,0.3426
SNAPIN,5.9,0.5075
ILF2,-2,0.0846
NPR1,-9.6,0.4009
MIR8083,1.4,0.3547
RN7SL372P,-3.2,0.8401
GEMIN2P1,3.3,0.0062
Y_RNA,-7.4,0.8249
INTS3,4.8,0.4544
AL513523.4,5.9,0.6907
AL513523.3,-0.2,0.2237
SLC27A3,-9.2,0.759
Y_RNA,-0.1,0.9938
GATAD2B,-2,0.3858
AL513523.2,-2,0.3116
AL513523.1,7,0.2695
AL831737.1,6,0.2744
AL358472.5,-5,0.4882
DENND4B,-7,0.6421
CRTC2,4.9,0.3436
SLC39A1,9.7,0.549
AL358472.7,-6.3,0.5522
MIR6737,1.4,0.2464
AL358472.4,6.3,0.0734
AL358472.3,5.3,0.1991
CREB3L4,-4,0.8312
JTB,0.3,0.9267
AL358472.6,-0.3,0.4234
AL358472.2,7.7,0.5937
RAB13,-0.3,0.0265
RPS27,-9.6,0.7878
NUP210L,-6.4,0.2568
AL358472.1,-5.9,0.1759
RNU6-179P,-1.6,0.9256
RPS7P2,-8.1,0.0214
MIR5698,-2.9,0.9292
TPM3,-8.4,0.6375
RN7SL431P,3.5,0.457
MIR190B,-4.1,0.348
C1orf189,0.2,0.0664
C1orf43,7.2,0.4241
C1orf43,-0.9,0.5476
UBAP2L,-2,0.0492
SNORA58B,-10,0.3063
HAX1,-7.5,0.0776
AL354980.1,9.6,0.3394
RNU6-239P,1.8,0.2864
RNU6-121P,-0.2,0.9511
AL354980.2,7.9,0.9276
AQP10,-7.1,0.5649
ATP8B2,2.1,0.0833
RNU7-57P,3.5,0.6665
AL162591.1,-3.9,0.8532
RPSAP17,0.8,0.9867
IL6R-AS1,2.6,0.3653
IL6R,-1.5,0.7458
PSMD8P1,5.4,0.7941
SHE,-4.4,0.9469
AL162591.2,0.3,0.5888
TDRD10,0,0.6024
UBE2Q1,-7.7,0.8613
UBE2Q1-AS1,9.1,0.1046
AL592078.2,-1,0.009
CHRNB2,-1.6,0.1797
AL592078.1,-2.3,0.3151
ADAR,5.3,0.2697
AL606500.1,-4,0.8415
KCNN3,-3,0.7023
PMVK,6.8,0.1049
AL451085.1,4.3,0.9818
PBXIP1,4.1,0.4767
Metazoa_SRP,-6.4,0.0184
PYGO2,-9.5,0.8685
AL451085.2,3.6,0.5334
SHC1,0.1,0.4682
CKS1B,3.1,0.0929
MIR4258,-4.7,0.6789
FLAD1,-3.8,0.4145
LENEP,8.6,0.6422
ZBTB7B,-0.1,0.5359
DCST2,-9.4,0.1114
DCST1,-2.5,0.5493
DCST1-AS1,0.3,0.026
ADAM15,6.3,0.0594
EFNA4,-7.8,0.5229
AL691442.2,3.8,0.0329
EFNA3,-9.1,0.6156
AL691442.1,-9,0.8637
EFNA1,-0.5,0.7824
SLC50A1,7.8,0.7457
DPM3,-1.5,0.2099
HMGN2P18,-3.9,0.6882
KRTCAP2,2.1,0.8334
AL713999.1,-9.1,0.8479
TRIM46,0.5,0.3637
MUC1,-5.3,0.3748
AC234582.1,4.4,0.4681
MIR92B,-5.2,0.203
THBS3,2.4,0.5643
MTX1,7.8,0.7997
AC234582.2,-4.7,0.8398
GBAP1,8.8,0.6184
MTX1P1,8.6,0.1857
GBA,-2.9,0.9543
FAM189B,-5.8,0.1953
SCAMP3,9.5,0.9921
CLK2,-8.5,0.4719
HCN3,6.6,0.4194
PKLR,-9.5,0.0018
FDPS,5.6,0.2114
RUSC1-AS1,-4.3,0.2601
RUSC1,0.5,0.1452
ASH1L,7.1,0.1709
MIR555,3,0.786
RNU6-106P,-1.7,0.1302
ASH1L-IT1,-4.1,0.0984
RNU6-1297P,-0.2,0.2818
POU5F1P4,0.1,0.408
ASH1L-AS1,-4.4,0.1385
AL353807.4,3.3,0.9768
DAP3P1,9.7,0.5283
AL353807.1,-6.3,0.4196
AL353807.2,3.9,0.6464
MSTO1,-7.1,0.0912
AL353807.3,9.8,0.6893
AL353807.5,6.3,0.4667
YY1AP1,-6.9,0.9694
DAP3,-6.2,0.3661
AL162734.1,4.3,0.9948
MSTO2P,-7.6,0.9209
GON4L,-0.6,0.7674
AL139128.1,-8,0.4189
SYT11,8.3,0.6409
AL139128.2,1,0.6711
RIT1,2.1,0.4826
KHDC4,7.7,0.5765
SNORA80E,9.6,0.4301
SCARNA4,2.9,0.873
SCARNA4,-6.8,0.4303
SCARNA4,-2.4,0.0538
SCARNA4,6.6,0.7875
SCARNA4,7,0.6276
SCARNA4,-5.6,0.2242
SCARNA4,-5.6,0.9355
SCARNA4,7.8,0.3044
SCARNA4,1.7,0.6083
SCARNA4,1.6,0.49
SCARNA4,-6.1,0.2962
SCARNA4,9.3,0.5593
SCARNA4,-2,0.6391
SCARNA4,-2.8,0.7369
SCARNA4,-7.9,0.8004
SCARNA4,-8.2,0.9546
RXFP4,-7.6,0.9734
ARHGEF2,-9.7,0.8272
MIR6738,-7.6,0.7012
AL355388.1,4.6,0.2256
ARHGEF2-AS1,2.9,0.0384
AL355388.2,8.1,0.9632
SSR2,-8.2,0.6202
UBQLN4,-8.6,0.0311
LAMTOR2,7.6,0.9823
RAB25,-5.5,0.3766
MEX3A,-4.6,0.4774
LMNA,-5.4,0.7441
SEMA4A,-9.8,0.3794
AL135927.1,9.5,0.3224
SLC25A44,-6,0.7297
PMF1-BGLAP,-3.5,0.3589
PMF1,-3.9,0.9102
BGLAP,-3,0.0723
BGLAP,-4.5,0.0774
BGLAP,-9.9,0.6323
PAQR6,3.3,0.7207
SMG5,-1.8,0.7721
TMEM79,3.9,0.3346
GLMP,7.2,0.3985
VHLL,-8.6,0.3256
CCT3,-4.4,0.4782
TSACC,5.4,0.1365
RHBG,-9.8,0.4943
RHBG,-0.2,0.6158
AL139130.1,1.9,0.0689
C1orf61,8,0.296
MIR9-1,6.6,0.8617
MEF2D,3.5,0.4488
Y_RNA,-1.3,0.6893
AL365181.1,7.1,0.4628
IQGAP3,-0.4,0.7422
TTC24,-7,0.7356
NAXE,-0.7,0.6857
GPATCH4,-5,0.5425
AL365181.4,6.1,0.0722
HAPLN2,9.8,0.0696
AL365181.2,0.8,0.5985
BCAN,-8.8,0.601
AL365181.3,-6.4,0.2314
AL590666.2,-9.7,0.7682
NES,1.5,0.1716
AL590666.3,-3.7,0.3115
AL590666.4,-5.1,0.5916
CRABP2,-0.1,0.6575
AL590666.1,6.7,0.5242
ISG20L2,-5.2,0.2202
RRNAD1,6.9,0.8143
MRPL24,9.5,0.8525
HDGF,-3.7,0.9354
PRCC,-0.1,0.5341
AL590666.5,-2,0.3342
SH2D2A,-8.4,0.2619
NTRK1,-7.2,0.9794
INSRR,7.1,0.1427
PEAR1,4.8,0.0541
LRRC71,1.4,0.874
ARHGEF11,1.5,0.8056
MIR765,2.8,0.083
RN7SL612P,3.8,0.8414
SMU1P1,0.8,0.8522
KRT8P45,4.6,0.2293
ETV3L,6.1,0.0505
ETV3,-7.3,0.0387
CYCSP52,-2.6,0.0262
AL357143.1,-1.1,0.5382
AL357143.2,10,0.8057
AL138900.1,5.7,0.526
LINC02772,0,0.3654
AL138900.2,5,0.0017
AL732406.1,-3.1,0.1515
AL353899.1,8.3,0.0169
FCRL5,-2.3,0.2889
FCRL4,-7.6,0.8401
AL135929.2,-9,0.9969
AL135929.1,6.3,0.3363
FCRL3,-9.8,0.7593
AL356276.1,-0.3,0.0377
AL356276.2,-0.5,0.7653
VDAC1P9,-7.8,0.7943
FCRL2,2.6,0.546
FCRL1,5.9,0.3848
CD5L,-7.8,0.0492
MRPS21P2,-9.8,0.9717
AL139010.1,-9.3,0.3525
KIRREL1,-8.6,0.7952
KIRREL1-IT1,-1,0.6465
AL138899.3,4.6,0.6658
LINC01704,-7.1,0.5012
ELL2P1,-0.9,0.3506
CD1D,9.6,0.3258
CD1D,-4.3,0.7923
AL138899.2,-0.7,0.4174
AL138899.1,-3.5,0.9623
CD1A,4.4,0.3892
HMGN1P5,8.7,0.5713
CD1C,-9,0.2067
CD1B,-6.9,0.9391
CD1E,-5.1,0.5881
OR10T2,-2.7,0.1109
OR10K2,4.7,0.1058
OR10T1P,-4.3,0.9309
EI24P2,-4.1,0.6804
OR10K1,-5.4,0.6515
OR10R2,7.5,0.9516
AL365440.2,-9.7,0.2594
OR10R3P,5.4,0.5037
OR10R1P,6.2,0.8703
AL365440.1,9.5,0.9935
OR6Y1,-1.9,0.8616
OR6P1,0.9,0.7561
OR10X1,0.5,0.1478
OR10X1,-0.3,0.6998
OR10Z1,-4.7,0.8849
SPTA1,1.9,0.7333
OR6K1P,-2.7,0.6642
OR6K2,8.9,0.1138
OR6K3,5.7,0.2562
OR6K4P,7.5,0.155
OR6K5P,3.9,0.9024
OR6N1,9.7,0.8664
OR6K6,5.6,0.8336
OR6N2,7,0.0684
OR2AQ1P,-7.5,0.4059
OR10AA1P,4.9,0.0802
MNDA,5,0.7599
MNDA,-3.8,0.8071
MNDA,-8.6,0.355
MNDA,-1.9,0.7772
PYHIN5P,5.1,0.0001
PYHIN1,1.9,0.388
PYHIN1,9.8,0.0867
PYHIN1,-10,0.221
IFI16,9.5,0.2303
IFI16,-4.5,0.0352
IFI16,-5.1,0.7311
AIM2,-4.7,0.1088
RAD1P2,2.6,0.4376
CADM3,-9.9,0.9158
RNA5SP60,-2.6,0.9673
CADM3-AS1,-3.1,0.9239
ACKR1,-0.2,0.7173
MPTX1,9.6,0.885
OR10J2P,9.6,0.7173
FCER1A,5.8,0.6768
OR10J3,6.6,0.1825
OR10J3,6.5,0.8904
AL513323.1,9.4,0.7992
OR10J7P,-9,0.0848
OR10J8P,1.1,0.4226
OR10J9P,-9.5,0.6274
OR10J4,7.7,0.0204
OR10J1,9.5,0.9581
LINC02819,-6.7,0.6592
OR10J5,3.5,0.9602
AL606752.1,6.3,0.0965
OR10AE1P,5.3,0.2719
APCS,-3.9,0.4242
OR10J6P,3.4,0.9377
AL445528.2,2.1,0.0013
CRPP1,-4.3,0.1509
CRP,-2.6,0.9177
AL445528.1,1.6,0.3202
DUSP23,3.9,0.018
FCRL6,-9.9,0.8092
SLAMF8,4.8,0.732
AL590560.2,-8.1,0.5474
SNHG28,-1.2,0.407
AL590560.1,9.3,0.287
VSIG8,-7.9,0.6648
AL590560.3,-5.4,0.3589
CFAP45,5.7,0.783
MIR4259,7,0.1003
AL590560.5,3.9,0.3797
AL590560.4,3.6,0.414
TAGLN2,2,0.8088
IGSF9,-4.5,0.1006
SLAMF9,-9.9,0.8053
LINC01133,6.4,0.1586
AL513485.1,-3.5,0.0017
KCNJ10,-5.1,0.4972
AL513302.1,-4.4,0.1303
PIGM,9.4,0.1279
AL121987.1,0.8,0.1842
KCNJ9,0.7,0.2424
IGSF8,-2.2,0.1897
ATP1A2,-1,0.4466
ATP1A4,7.7,0.7618
CASQ1,-1.5,0.7978
AL121987.2,-2.3,0.478
PEA15,2.4,0.6322
DCAF8,0.9,0.2975
AL139011.2,-4,0.874
AL139011.1,-6.1,0.5236
RPSAP18,9.5,0.9023
